Time,Voltage,Voltage_0,Voltage_1
25:26.6,0.201341,0.210048,0.487698
25:26.7,0.200831,0.210048,0.492789
25:26.8,0.202869,0.210048,0.492789
25:26.9,0.202869,0.210048,0.492789
25:27.0,0.199813,0.210048,0.492789
25:27.1,0.201341,0.210048,0.492789
25:27.2,0.203378,0.210048,0.487698
25:27.3,0.201341,0.210048,0.492789
25:27.4,0.200831,0.210048,0.492789
25:27.5,0.200831,0.210048,0.492789
25:27.6,0.200831,0.210048,0.492789
25:27.7,0.204906,0.23042,0.462241
25:27.8,0.216112,0.199862,0.49788
25:27.9,0.216112,0.199862,0.518246
25:28.0,0.197775,0.19477,0.452058
25:28.1,0.208981,0.210048,0.523337
25:28.2,0.157535,0.215141,0.467332
25:28.3,0.198284,0.215141,0.49788
25:28.4,0.212037,0.204955,0.508063
25:28.5,0.180966,0.210048,0.492789
25:28.6,0.213566,0.19477,0.492789
25:28.7,0.197775,0.215141,0.487698
25:28.8,0.208981,0.215141,0.452058
25:28.9,0.237506,0.210048,0.487698
25:29.0,0.221206,0.215141,0.441875
25:29.1,0.191663,0.19477,0.492789
25:29.2,0.216112,0.210048,0.452058
25:29.3,0.203378,0.210048,0.492789
25:29.4,0.212037,0.199862,0.502972
25:29.5,0.224262,0.220234,0.482606
25:29.6,0.208472,0.19477,0.49788
25:29.7,0.192172,0.210048,0.502972
25:29.8,0.187078,0.225327,0.477515
25:29.9,0.195738,0.220234,0.49788
25:30.0,0.188606,0.210048,0.492789
25:30.1,0.17791,0.215141,0.482606
25:30.2,0.198284,0.204955,0.49788
25:30.3,0.18555,0.215141,0.482606
25:30.4,0.199303,0.215141,0.513155
25:30.5,0.183003,0.225327,0.482606
25:30.6,0.206944,0.215141,0.513155
25:30.7,0.178928,0.240605,0.487698
25:30.8,0.196756,0.23042,0.49788
25:30.9,0.194209,0.225327,0.477515
25:31.0,0.195228,0.225327,0.492789
25:31.1,0.199813,0.215141,0.487698
25:31.2,0.214075,0.225327,0.426601
25:31.3,0.178419,0.215141,0.477515
25:31.4,0.201341,0.199862,0.513155
25:31.5,0.16976,0.210048,0.513155
25:31.6,0.183003,0.19477,0.492789
25:31.7,0.225281,0.189677,0.467332
25:31.8,0.182494,0.189677,0.441875
25:31.9,0.190134,0.204955,0.492789
25:32.0,0.164157,0.225327,0.53352
25:32.1,0.200322,0.210048,0.487698
25:32.2,0.187078,0.204955,0.482606
25:32.3,0.190644,0.210048,0.482606
25:32.4,0.196756,0.215141,0.492789
25:32.5,0.196247,0.210048,0.487698
25:32.6,0.194719,0.210048,0.487698
25:32.7,0.196756,0.204955,0.487698
25:32.8,0.196756,0.210048,0.487698
25:32.9,0.195738,0.210048,0.487698
25:33.0,0.196247,0.210048,0.487698
25:33.1,0.196247,0.210048,0.487698
25:33.2,0.195738,0.210048,0.487698
25:33.3,0.195738,0.210048,0.487698
25:33.4,0.195738,0.210048,0.487698
25:33.5,0.194719,0.210048,0.487698
25:33.6,0.196756,0.210048,0.487698
25:33.7,0.196756,0.210048,0.487698
25:33.8,0.196247,0.210048,0.487698
25:33.9,0.196756,0.210048,0.487698
25:34.0,0.195738,0.210048,0.487698
25:34.1,0.196247,0.210048,0.487698
25:34.2,0.196756,0.210048,0.487698
25:34.3,0.195738,0.210048,0.487698
25:34.4,0.197266,0.210048,0.487698
25:34.5,0.196756,0.210048,0.487698
25:34.6,0.196247,0.210048,0.487698
25:34.7,0.195738,0.210048,0.487698
25:34.8,0.196247,0.210048,0.487698
25:34.9,0.195738,0.210048,0.482606
25:35.0,0.195228,0.210048,0.487698
25:35.1,0.196247,0.210048,0.487698
25:35.2,0.196756,0.210048,0.487698
25:35.3,0.196247,0.210048,0.487698
25:35.4,0.196756,0.210048,0.487698
25:35.5,0.196756,0.210048,0.487698
25:35.6,0.196247,0.210048,0.487698
25:35.7,0.196247,0.210048,0.487698
25:35.8,0.195738,0.210048,0.487698
25:35.9,0.196756,0.210048,0.487698
25:36.0,0.196247,0.210048,0.487698
25:36.1,0.196247,0.210048,0.487698
25:36.2,0.196756,0.210048,0.487698
25:36.3,0.196756,0.210048,0.487698
25:36.4,0.197266,0.210048,0.487698
25:36.5,0.196756,0.210048,0.487698
25:36.6,0.196756,0.210048,0.487698
25:36.7,0.196756,0.210048,0.487698
25:36.8,0.197266,0.210048,0.487698
25:36.9,0.196756,0.210048,0.487698
25:37.0,0.196756,0.210048,0.487698
25:37.1,0.214075,0.215141,0.467332
25:37.2,0.172816,0.215141,0.518246
25:37.3,0.200322,0.215141,0.457149
25:37.4,0.208981,0.215141,0.436784
25:37.5,0.184531,0.23042,0.548794
25:37.6,0.173835,0.215141,0.513155
25:37.7,0.224772,0.215141,0.446967
25:37.8,0.188606,0.215141,0.472423
25:37.9,0.204397,0.215141,0.538612
25:38.0,0.194719,0.204955,0.508063
25:38.1,0.199813,0.204955,0.472423
25:38.2,0.216622,0.210048,0.426601
25:38.3,0.207962,0.215141,0.472423
25:38.4,0.180456,0.220234,0.482606
25:38.5,0.212547,0.210048,0.462241
25:38.6,0.195738,0.215141,0.523337
25:38.7,0.196756,0.220234,0.452058
25:38.8,0.192172,0.215141,0.513155
25:38.9,0.202869,0.215141,0.472423
25:39.0,0.176891,0.215141,0.492789
25:39.1,0.210509,0.210048,0.482606
25:39.2,0.191153,0.210048,0.523337
25:39.3,0.215603,0.204955,0.492789
25:39.4,0.174853,0.215141,0.49788
25:39.5,0.218659,0.204955,0.472423
25:39.6,0.198794,0.210048,0.502972
25:39.7,0.21,0.199862,0.482606
25:39.8,0.212547,0.210048,0.472423
25:39.9,0.213056,0.204955,0.482606
25:40.0,0.217131,0.199862,0.467332
25:40.1,0.195738,0.215141,0.502972
25:40.2,0.203887,0.199862,0.477515
25:40.3,0.197775,0.215141,0.49788
25:40.4,0.219169,0.189677,0.462241
25:40.5,0.202359,0.199862,0.462241
25:40.6,0.227828,0.215141,0.49788
25:40.7,0.220187,0.215141,0.502972
25:40.8,0.198794,0.199862,0.492789
25:40.9,0.20185,0.210048,0.482606
25:41.0,0.196247,0.225327,0.477515
25:41.1,0.211019,0.215141,0.508063
25:41.2,0.204397,0.225327,0.492789
25:41.3,0.206434,0.204955,0.472423
25:41.4,0.215094,0.225327,0.518246
25:41.5,0.200831,0.215141,0.452058
25:41.6,0.198284,0.215141,0.482606
25:41.7,0.198794,0.210048,0.482606
25:41.8,0.200831,0.210048,0.487698
25:41.9,0.202359,0.215141,0.492789
25:42.0,0.20185,0.210048,0.492789
25:42.1,0.200831,0.210048,0.487698
25:42.2,0.20185,0.210048,0.492789
25:42.3,0.201341,0.210048,0.492789
25:42.4,0.200322,0.210048,0.492789
25:42.5,0.202869,0.210048,0.492789
25:42.6,0.202359,0.215141,0.492789
25:42.7,0.202359,0.215141,0.492789
25:42.8,0.201341,0.210048,0.492789
25:42.9,0.201341,0.215141,0.492789
25:43.0,0.202869,0.210048,0.492789
